Date,DelPerc,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,Change_Percentage
03062024,62.61,65.75,67.1,68.8,65.0,65.7,-0.08
04062024,48.7,65.7,67.0,68.8,64.05,66.25,0.84
05062024,58.71,66.25,68.75,68.75,63.05,64.3,-2.94
06062024,70.24,64.3,65.95,67.35,64.3,65.05,1.17
07062024,67.04,65.05,68.8,68.8,64.95,65.4,0.54
10062024,22.55,65.4,66.3,69.3,66.3,67.32,2.94
11062024,66.53,67.32,68.68,68.92,65.04,65.9,-2.11
12062024,70.55,65.9,65.8,67.92,65.07,65.63,-0.41
13062024,64.37,65.63,67.0,67.0,64.04,64.77,-1.31
14062024,61.25,64.77,66.7,67.95,64.75,65.6,1.28
17062024,61.25,64.77,66.7,67.95,64.75,65.6,1.28
18062024,35.85,65.6,66.79,68.19,59.32,64.54,-1.62
19062024,35.94,64.54,64.54,67.0,64.23,65.23,1.07
20062024,50.05,65.23,65.3,66.55,64.22,64.78,-0.69
21062024,43.19,64.78,64.78,66.2,63.31,64.16,-0.96
24062024,35.69,64.16,64.95,65.76,63.4,63.79,-0.58
25062024,60.25,63.79,63.41,64.69,61.7,62.09,-2.66
26062024,64.61,62.09,63.33,64.0,61.04,61.47,-1.0
27062024,79.35,61.47,62.0,62.4,59.1,59.61,-3.03
28062024,46.88,59.61,59.8,61.75,59.51,60.31,1.17
01072024,41.2,60.31,62.5,62.5,59.92,60.62,0.51
02072024,47.55,60.62,60.65,63.37,59.5,60.07,-0.91
03072024,62.83,60.07,61.98,61.98,59.75,60.08,0.02
04072024,62.13,60.08,61.45,61.45,59.5,59.82,-0.43
05072024,59.33,59.82,60.69,60.83,59.0,59.74,-0.13
08072024,65.15,59.74,60.0,60.0,58.2,59.02,-1.21
09072024,61.73,59.02,60.6,60.6,58.61,58.91,-0.19
10072024,53.26,58.91,58.9,60.7,58.89,59.63,1.22
11072024,60.06,59.63,59.43,60.49,58.36,59.64,0.02
12072024,71.71,59.64,60.05,60.5,58.25,58.85,-1.32
15072024,51.96,58.85,58.85,59.77,58.47,58.96,0.19
16072024,71.07,58.96,58.96,59.5,58.6,58.96,0.0
17072024,71.07,58.96,58.96,59.5,58.6,58.96,0.0
18072024,67.74,58.96,58.9,58.91,58.11,58.68,-0.47
19072024,47.06,58.68,59.81,59.81,57.62,58.41,-0.46
22072024,49.93,58.41,58.01,60.0,57.72,58.37,-0.07
23072024,54.62,58.37,57.51,58.39,57.51,58.0,-0.63
24072024,57.55,58.0,59.0,60.0,58.32,59.1,1.9
25072024,87.78,59.1,58.99,59.59,58.21,58.71,-0.66
26072024,67.6,58.71,58.5,60.27,58.49,58.77,0.1
29072024,54.52,58.77,58.6,59.89,58.15,58.95,0.31
30072024,74.41,58.95,59.99,59.99,57.45,57.63,-2.24
31072024,66.38,57.63,60.8,60.8,57.15,57.71,0.14
01082024,40.2,57.71,58.86,59.34,51.93,56.51,-2.08
02082024,86.51,56.51,57.0,57.64,56.21,56.92,0.73
05082024,44.87,56.92,56.92,57.89,51.22,51.22,-10.01
06082024,53.89,51.22,51.05,56.34,46.09,56.33,9.98
07082024,36.59,56.33,64.69,67.59,60.61,67.59,19.99
08082024,62.39,67.59,75.0,81.1,75.0,81.1,19.99
09082024,35.84,81.1,83.02,89.21,72.99,80.05,-1.29
12082024,50.5,80.05,78.0,80.0,72.04,73.08,-8.71
13082024,50.54,73.08,72.0,73.08,65.85,67.5,-7.64
18112024,80.4,43.28,45.23,46.64,42.08,42.97,-0.72
19112024,91.77,42.97,42.97,44.84,42.53,43.47,1.16
20112024,91.77,42.97,42.97,44.84,42.53,43.47,1.16
21112024,62.63,43.47,44.41,44.97,41.1,41.74,-3.98
22112024,65.77,41.74,43.2,43.2,40.49,41.4,-0.81
25112024,53.14,41.4,43.6,44.0,40.01,43.79,5.77
26112024,67.67,43.79,43.0,44.33,42.5,42.88,-2.08
27112024,75.32,42.88,44.88,44.88,42.51,43.23,0.82
28112024,70.67,43.23,44.46,47.55,43.15,47.55,9.99
29112024,54.29,47.55,48.15,52.3,48.15,52.3,9.99
02122024,44.39,52.3,54.5,54.91,49.69,53.28,1.87
03122024,59.85,53.28,51.51,54.0,50.62,51.06,-4.17
04122024,60.29,51.06,51.06,51.98,49.5,50.05,-1.98
05122024,52.66,50.05,50.1,51.98,49.35,50.45,0.8
06122024,37.38,50.45,51.64,51.64,48.2,50.02,-0.85
09122024,31.36,50.02,50.92,51.4,49.71,50.34,0.64
10122024,40.32,50.34,49.85,51.34,48.32,49.14,-2.38
11122024,35.35,49.14,49.5,50.79,47.13,47.65,-3.03
12122024,38.53,47.65,49.55,50.0,47.75,49.73,4.37
13122024,32.57,49.73,49.73,50.3,47.3,48.15,-3.18
16122024,56.66,48.15,47.3,49.4,47.23,48.49,0.71
17122024,22.14,48.49,49.85,49.85,47.51,47.72,-1.59
18122024,21.63,47.72,49.9,49.9,47.21,47.52,-0.42
19122024,36.77,47.52,46.51,48.55,45.52,46.47,-2.21
20122024,35.97,46.47,48.17,48.17,45.0,46.35,-0.26
23122024,52.03,46.35,48.44,48.6,46.04,46.38,0.06
24122024,41.29,46.38,47.4,48.0,45.25,45.72,-1.42
25122024,41.29,46.38,47.4,48.0,45.25,45.72,-1.42
26122024,35.96,45.72,45.03,47.9,44.71,45.75,0.07
27122024,34.2,45.75,47.89,47.89,44.74,44.87,-1.92
30122024,44.47,44.87,45.49,45.49,44.02,44.62,-0.56
31122024,51.59,44.62,45.38,46.27,44.0,44.85,0.52
01012025,28.68,44.85,45.01,45.9,44.43,45.14,0.65
02012025,49.23,45.14,46.72,47.39,45.21,46.54,3.1
03012025,59.33,46.54,47.93,47.93,45.03,45.71,-1.78
06012025,64.9,45.71,45.71,47.95,43.42,43.65,-4.51
07012025,55.67,43.65,44.0,44.28,42.12,42.76,-2.04
08012025,76.61,42.76,43.9,43.9,41.0,41.31,-3.39
09012025,78.7,41.31,42.0,42.03,39.56,40.23,-2.61
10012025,85.28,40.23,39.61,40.47,38.21,38.36,-4.65
13012025,77.77,38.36,38.21,40.27,36.44,36.57,-4.67
14012025,82.11,36.57,36.62,37.86,35.96,36.63,0.16
15012025,89.65,36.63,38.39,38.46,37.95,38.0,3.74
16012025,69.05,38.0,39.66,39.9,38.31,39.87,4.92
17012025,76.66,39.87,39.87,40.95,38.12,38.5,-3.44
20012025,75.51,38.5,38.0,39.5,36.58,37.19,-3.4
21012025,81.15,37.19,37.93,38.16,35.33,35.63,-4.19
22012025,27.73,35.63,37.38,37.38,35.21,36.08,1.26
23012025,56.43,36.08,36.9,37.54,35.59,36.68,1.66
24012025,71.29,36.68,37.64,37.64,34.84,34.93,-4.77
27012025,66.05,34.93,35.0,35.88,33.18,33.22,-4.9
28012025,60.65,33.22,34.0,34.88,31.55,34.2,2.95
29012025,72.26,34.2,34.43,35.11,34.0,34.32,0.35
30012025,61.13,34.32,34.74,35.89,34.4,35.36,3.03
31012025,63.2,35.36,36.26,36.9,33.59,34.51,-2.4
03022025,87.96,35.28,36.0,36.01,33.51,33.72,-4.42
04022025,67.29,33.72,34.4,35.2,33.61,34.51,2.34
05022025,55.07,34.51,35.18,35.94,34.71,35.03,1.51
06022025,89.36,35.03,35.75,36.6,35.61,36.3,3.63
07022025,50.89,36.3,38.67,38.69,36.42,36.63,0.91
10022025,81.24,36.63,37.4,38.26,36.5,36.96,0.9
11022025,74.78,36.96,36.96,37.96,35.01,35.76,-3.25
12022025,72.34,35.76,36.66,36.73,33.41,34.34,-3.97
13022025,83.6,34.34,35.23,36.0,33.9,34.18,-0.47
14022025,59.6,34.18,34.8,35.18,31.65,31.98,-6.44
17022025,63.29,31.98,33.4,33.59,30.41,31.38,-1.88
18022025,45.31,31.38,31.0,34.51,30.05,30.94,-1.4
19022025,75.93,30.94,31.56,33.49,30.26,32.25,4.23
20022025,76.82,32.25,32.04,32.99,30.52,31.47,-2.42
21022025,77.61,31.47,33.32,33.33,31.51,31.99,1.65
24022025,83.93,31.99,32.51,32.51,30.0,30.11,-5.88
25022025,62.25,30.11,31.0,31.0,29.1,29.88,-0.76
27022025,52.8,29.88,30.0,30.0,28.0,28.32,-5.22
28022025,71.71,28.32,28.09,28.99,26.0,26.47,-6.53
03032025,78.78,26.47,26.46,27.48,26.2,26.49,0.08
04032025,66.16,26.49,26.49,26.98,25.5,25.87,-2.34
05032025,91.76,25.87,25.92,27.0,25.92,26.58,2.74
06032025,89.84,26.58,27.47,27.9,26.95,27.78,4.51
07032025,96.54,27.78,28.78,29.16,28.76,29.15,4.93
10032025,96.87,29.15,30.59,30.6,29.74,30.6,4.97
11032025,49.22,30.6,31.5,32.13,29.07,30.72,0.39
12032025,41.44,30.72,32.14,32.14,29.86,30.05,-2.18
13032025,45.52,30.05,30.01,31.54,29.5,31.04,3.29
17032025,40.91,31.04,32.58,32.58,29.57,30.33,-2.29
18032025,36.69,30.33,30.49,31.84,29.8,30.06,-0.89
19032025,47.47,30.06,31.45,31.45,29.23,29.92,-0.47
20032025,52.53,29.92,29.11,31.0,29.11,30.21,0.97
21032025,45.6,30.21,30.53,31.29,29.0,29.66,-1.82
24032025,71.68,29.66,29.08,30.86,29.08,29.62,-0.13
25032025,71.36,29.62,30.47,30.49,29.41,29.65,0.1
26032025,89.06,29.65,29.49,29.49,28.16,28.17,-4.99
27032025,82.58,28.17,28.74,28.74,26.76,26.91,-4.47
28032025,70.41,26.91,27.6,28.25,26.0,27.24,1.23
01042025,69.47,27.24,27.0,28.51,27.0,28.32,3.96
02042025,77.78,28.32,29.5,29.5,28.06,28.29,-0.11
03042025,88.88,28.29,29.44,29.7,28.49,29.68,4.91
04042025,63.96,29.68,31.16,31.16,29.67,30.67,3.34
07042025,60.08,30.67,32.99,32.99,27.6,29.12,-5.05
08042025,59.36,29.12,28.54,31.48,28.11,28.6,-1.79
09042025,58.69,28.6,30.94,30.98,27.7,28.91,1.08
11042025,66.78,28.91,31.39,31.39,29.21,29.81,3.11
15042025,69.03,29.81,30.84,30.84,28.75,29.69,-0.4
16042025,84.05,29.69,30.5,31.0,28.31,29.16,-1.79
17042025,89.65,29.16,29.9,32.07,29.06,31.96,9.6
21042025,49.0,31.96,32.5,35.15,32.5,33.47,4.72
22042025,62.65,33.47,34.4,36.5,33.5,35.09,4.84
23042025,51.45,35.09,37.9,38.5,35.83,38.23,8.95
24042025,71.77,38.23,39.93,40.14,39.55,40.14,5.0
25042025,98.81,40.14,42.14,42.14,42.14,42.14,4.98
28042025,100.0,42.14,44.24,44.24,44.24,44.24,4.98
29042025,100.0,44.24,46.45,46.45,46.45,46.45,5.0
30042025,52.99,46.45,48.77,48.77,44.12,44.12,-5.02
18082025,87.51,29.81,30.25,31.2,28.7,30.44,2.11
19082025,89.13,30.44,30.85,30.85,30.0,30.62,0.59
20082025,65.29,30.62,31.64,31.64,29.2,30.93,1.01
21082025,66.63,30.93,31.93,31.93,29.57,30.69,-0.78
22082025,84.83,30.69,30.53,32.2,30.0,31.26,1.86
25082025,71.32,31.26,30.5,31.89,30.26,30.54,-2.3
26082025,77.56,30.54,30.7,30.7,29.21,30.04,-1.64
28082025,81.57,30.04,30.64,30.64,29.06,29.92,-0.4
29082025,58.59,29.92,30.0,30.89,28.6,29.41,-1.7
01092025,76.85,29.41,29.99,30.68,28.97,30.38,3.3
02092025,68.88,30.38,31.8,31.8,29.5,30.11,-0.89
03092025,78.49,30.11,30.62,30.99,29.65,30.58,1.56
04092025,74.16,30.58,30.73,31.24,29.82,30.2,-1.24
05092025,92.26,30.2,31.7,31.7,29.54,29.95,-0.83
08092025,64.8,29.95,30.99,30.99,29.76,30.55,2.0
09092025,78.65,30.55,30.56,30.75,29.56,29.79,-2.49
10092025,95.36,29.79,30.39,31.27,29.5,30.88,3.66
11092025,83.76,30.88,31.65,31.65,30.55,31.0,0.39
12092025,62.27,31.0,30.38,31.5,29.52,30.23,-2.48
15092025,56.12,30.23,30.08,31.48,30.0,30.7,1.55
16092025,56.21,30.7,30.99,30.99,30.16,30.51,-0.62
17092025,58.07,30.51,30.52,31.0,30.01,30.78,0.88
18092025,88.29,30.78,30.21,31.98,30.21,31.18,1.3
19092025,57.44,31.18,32.39,32.39,30.47,31.15,-0.1
22092025,60.15,31.15,31.49,31.49,30.02,30.43,-2.31
23092025,57.36,30.43,30.01,31.12,30.01,30.53,0.33
24092025,75.25,30.53,30.11,31.32,30.11,30.82,0.95
25092025,79.66,30.82,30.82,30.98,29.46,29.97,-2.76
26092025,74.46,29.97,29.6,29.87,28.47,28.91,-3.54
29092025,72.17,28.91,29.05,29.88,28.91,29.32,1.42
30092025,61.63,29.32,29.33,29.9,29.06,29.76,1.5
01102025,81.08,29.76,29.75,30.94,29.01,30.08,1.08
03102025,61.18,30.08,30.7,30.95,29.2,30.52,1.46
06102025,60.44,30.52,30.92,31.13,29.4,29.95,-1.87
07102025,81.24,29.95,30.55,31.39,30.1,30.55,2.0
08102025,84.31,30.55,30.01,30.97,29.85,30.44,-0.36
09102025,74.25,30.44,30.89,31.1,29.67,30.14,-0.99
10102025,70.76,30.14,29.12,30.49,29.12,30.35,0.7
13102025,68.77,30.35,30.99,30.99,29.53,29.91,-1.45
14102025,73.56,29.91,29.91,30.5,29.22,29.56,-1.17
15102025,44.06,29.56,30.16,30.97,29.0,29.57,0.03
16102025,74.13,29.57,30.0,32.52,29.75,32.52,9.98
17102025,64.24,32.52,33.33,35.77,33.33,35.77,9.99
20102025,85.02,35.77,39.34,39.34,38.5,39.34,9.98
21102025,100.0,39.34,41.3,41.3,41.3,41.3,4.98
22102025,100.0,39.34,41.3,41.3,41.3,41.3,4.98
23102025,99.99,41.3,43.36,43.36,43.36,43.36,4.99
24102025,70.24,43.36,41.19,41.21,41.19,41.19,-5.0
27102025,100.0,41.19,39.13,39.13,39.13,39.13,-5.0
28102025,100.0,39.13,37.17,37.17,37.17,37.17,-5.01
29102025,100.0,37.17,35.31,35.31,35.31,35.31,-5.0
02122025,87.29,30.49,31.45,31.45,30.2,30.26,-0.75
03122025,97.89,30.26,30.26,31.73,29.55,29.76,-1.65
04122025,85.45,29.76,30.33,31.0,29.0,30.47,2.39
05122025,73.95,30.47,29.76,31.94,29.5,30.77,0.98
08122025,64.73,30.77,31.53,31.53,29.34,30.09,-2.21
09122025,63.63,30.09,30.8,30.8,28.41,30.21,0.4
10122025,76.56,30.21,30.2,30.98,29.44,30.03,-0.6
11122025,99.34,30.03,30.89,30.9,30.0,30.61,1.93
12122025,89.75,30.61,31.2,31.2,30.1,30.81,0.65
15122025,64.94,30.81,31.5,33.0,30.15,32.19,4.48
16122025,71.82,32.19,33.0,33.15,31.1,32.63,1.37
17122025,51.22,32.63,32.99,34.0,31.61,32.83,0.61
18122025,61.32,32.83,32.0,36.11,31.85,35.6,8.44
19122025,50.29,35.6,35.4,38.77,35.4,38.34,7.7
22122025,67.46,38.34,39.89,39.9,38.34,38.8,1.2
23122025,71.46,38.8,40.24,40.24,35.0,35.75,-7.86
24122025,58.32,35.75,34.6,37.35,34.6,35.9,0.42
25122025,58.32,35.75,34.6,37.35,34.6,35.9,0.42
